algo,input,alpha,match,recur,recur,time,time,space,space
,(len),,(len),(rcnstr),(size),(size),(rcnstr),(rcnstr),(size)
h ,5,b ,3,9,1,0.4424,0.0145,0,
h ,5,a ,4,9,1,0.0161,0.016,0,
h ,10,b ,9,19,1,0.0169,0.0177,0,
h ,10,a ,7,19,1,0.0162,0.019,0,
h ,15,b ,11,25,1,0.0196,0.0203,0,
h ,15,a ,8,27,1,0.0191,0.0221,0,
h ,20,b ,14,37,1,0.0212,0.0257,0,
h ,20,a ,13,37,1,0.0209,0.0256,0,
h ,1000,b ,806,1955,1,5.187,10.071,0,
h ,1000,a ,645,1865,1,5.1413,9.9765,0,
h ,2000,b ,1608,3853,1,20.7777,40.0546,0.1,
h ,2000,a ,1298,3727,1,20.384,40.1049,0,
h ,3000,b ,2440,5855,1,46.2451,90.5748,0.3,
h ,3000,a ,1957,5611,1,46.2217,89.3372,0,
h ,4000,b ,3237,7775,1,82.8076,162.1242,0.4,
h ,4000,a ,2612,7425,1,82.8802,160.251,0,
h ,5000,b ,4053,9709,1,131.3543,251.3526,0,
h ,5000,a ,3265,9239,1,127.6273,248.2184,0,
h ,10000,b ,8108,19455,1,516.3635,1006.5678,0.8,
h ,10000,a ,6509,18729,1,516.9911,997.1549,0.1,
h ,40000,b ,32447,77833,1,8242.7208,16074.518,2.1,
h ,40000,a ,26180,74769,1,8164.5099,15977.7473,0.5,
d ,5,b ,3,8,1,0.0253,0.0147,,0
d ,5,a ,4,6,1,0.0212,0.0144,,0
d ,10,b ,9,11,1,0.0316,0.0144,,0
d ,10,a ,7,13,1,0.0316,0.0137,,0
d ,15,b ,11,19,1,0.0402,0.0142,,0
d ,15,a ,8,19,1,0.0378,0.0147,,0
d ,20,b ,14,26,1,0.0521,0.0148,,0
d ,20,a ,13,27,1,0.0492,0.0155,,0
d ,1000,b ,806,1193,1,59.2117,0.0462,,12.3
d ,1000,a ,645,1356,1,59.824,0.0495,,10
d ,2000,b ,1608,2393,1,236.2218,0.0835,,68
d ,2000,a ,1298,2703,1,238.2887,0.1224,,43.9
d ,3000,b ,2440,3561,1,531.2589,0.1262,,159.2
d ,3000,a ,1957,4042,1,533.7933,0.1331,,99.4
d ,4000,b ,3237,4759,1,945.8537,0.1338,,266.1
d ,4000,a ,2612,5388,1,949.9255,0.1969,,156.5
d ,5000,b ,4053,5935,1,1475.4208,0.2326,,419.1
d ,5000,a ,3265,6727,1,1482.2772,0.3782,,244.4
n ,5,b ,3,58,,,0.018,,
n ,5,a ,4,39,,,0.0139,,
n ,10,b ,9,48,,,0.0139,,
n ,10,a ,7,4320,,,0.0524,,
n ,15,b ,11,4707,,,0.0584,,
n ,15,a ,8,3164454,,,26.2239,,
n ,20,b ,14,83572,,,0.7059,,
n ,20,a ,13,230000000,,,1910.6828,,
m ,5,b ,3,6,27,0.0246,0.0143,,0
m ,5,a ,4,5,24,0.02,0.015,,0
m ,10,b ,9,10,34,0.0294,0.0135,,0
m ,10,a ,7,12,105,0.0272,0.0146,,0
m ,15,b ,11,16,143,0.0382,0.0136,,0
m ,15,a ,8,18,330,0.0376,0.0152,,0
m ,20,b ,14,25,271,0.0513,0.0132,,0
m ,20,a ,13,27,499,0.0504,0.0155,,0
m ,1000,b ,806,1190,577240,62.1108,0.0413,,0
m ,1000,a ,645,1355,1235391,69.2252,0.0393,,0
m ,2000,b ,1608,2392,2501587,251.2945,0.1162,,18
m ,2000,a ,1298,2700,5060499,278.9918,0.0658,,15
m ,3000,b ,2440,3560,5520115,569.9373,0.0806,,48.6
m ,3000,a ,1957,4041,11000000,634.1554,0.0914,,33.3
m ,4000,b ,3237,4758,10000000,1017.0957,0.2871,,90.4
m ,4000,a ,2612,5387,20000000,1138.6572,0.1141,,60.4
m ,5000,b ,4053,5942,16000000,1606.4914,0.3979,,140.2
m ,5000,a ,3265,6726,31000000,1826.7663,0.4117,,98.3
