time_reconstruct,input_size,space_sizing,match_size,recursion_sizing,space_reconstruct,alphabet,algo,recursion_reconstruct,time_sizing
0.013588496949523687,5,0.0,2,1,,alpha,dynamic,6,0.448520225007087
0.013363498030230403,5,0.0,4,1,,bin,dynamic,7,0.0218264979775995
0.014627569122239947,10,0.0,4,1,,alpha,dynamic,12,0.028461495880037546
0.014727588975802064,10,0.0,8,1,,bin,dynamic,12,0.030347699066624045
0.01365710492245853,15,0.0,8,1,,alpha,dynamic,20,0.03981088404543698
0.01507266005501151,15,0.0,10,1,,bin,dynamic,21,0.03692803322337568
0.015069793909788132,20,0.0,10,1,,alpha,dynamic,28,0.04636258422397077
0.015421474119648337,20,0.0,16,1,,bin,dynamic,25,0.05141871701925993
0.05376243800856173,1000,12.099999999999994,643,1,,alpha,dynamic,1356,59.423567848978564
0.04233935917727649,1000,14.200000000000003,808,1,,bin,dynamic,1193,58.61921966983937
0.13087503192946315,2000,45.5,1297,1,,alpha,dynamic,2702,233.66666264785454
0.08263188390992582,2000,67.6,1611,1,,bin,dynamic,2390,230.76327840797603
0.13245766796171665,3000,100.59999999999997,1949,1,,alpha,dynamic,4050,524.8505662491079
0.08834945596754551,3000,157.49999999999997,2446,1,,bin,dynamic,3555,520.6707146319095
0.2031275830231607,4000,157.89999999999998,2611,1,,alpha,dynamic,5381,931.8733043780085
0.1830341590102762,4000,264.9,3225,1,,bin,dynamic,4772,923.8997909571044
0.16517365095205605,5000,245.0,3255,1,,alpha,dynamic,6745,1453.770554814022
0.4058000659570098,5000,418.29999999999995,4061,1,,bin,dynamic,5939,1447.4913005819544
0.021423162892460823,5,,2,,,alpha,naive,227,
0.013206623028963804,5,,4,,,bin,naive,30,
0.3186062560416758,10,,4,,,alpha,naive,37412,
0.014355679042637348,10,,8,,,bin,naive,234,
9.66299770702608,15,,8,,,alpha,naive,1207326,
0.04561655502766371,15,,10,,,bin,naive,3151,
4433.302280816948,20,,10,,,alpha,naive,554020891,
1.1001994528342038,20,,16,,,bin,naive,136317,
0.013491288060322404,5,0.0,2,41,,alpha,memoized,8,0.022048369981348515
0.014850744046270847,5,0.0,4,27,,bin,memoized,6,0.02043793792836368
0.014519985066726804,10,0.0,4,136,,alpha,memoized,14,0.02683559712022543
0.01428751996718347,10,0.0,8,61,,bin,memoized,11,0.02882324904203415
0.014061904978007078,15,0.0,8,270,,alpha,memoized,17,0.03963718796148896
0.01338666514493525,15,0.0,10,167,,bin,memoized,19,0.03595226397737861
0.014835404930636287,20,0.0,10,620,,alpha,memoized,28,0.04980034800246358
0.013533249963074923,20,0.0,16,371,,bin,memoized,24,0.0507520551327616
0.04515500878915191,1000,0.0,643,1257162,,alpha,memoized,1355,67.95998261682689
0.03999081300571561,1000,0.0,808,603178,,bin,memoized,1192,61.24870229605585
0.06551927607506514,2000,15.100000000000023,1297,5017475,,alpha,memoized,2702,272.33437154605053
0.061876559862867,2000,19.30000000000001,1611,2526915,,bin,memoized,2389,247.38822939619422
0.08771729492582381,3000,35.19999999999993,1949,11161409,,alpha,memoized,4048,618.1745374428574
0.08367571304552257,3000,46.39999999999998,2446,5478036,,bin,memoized,3554,558.2729298390914
0.287554512033239,4000,61.89999999999998,2611,19821104,,alpha,memoized,5385,1110.376679567853
0.2971636080183089,4000,90.30000000000007,3225,10239993,,bin,memoized,4772,1012.3914247639477
0.40658513084053993,5000,97.79999999999995,3255,30960754,,alpha,memoized,6744,1768.7142122311052
0.3977515089791268,5000,145.5,4061,15880614,,bin,memoized,5937,1591.71803240804
0.01387951709330082,5,,2,1,0.0,alpha,hirschberg,9,0.021316224010661244
0.016241770004853606,5,,4,1,0.0,bin,hirschberg,9,0.016314441803842783
0.019050284987315536,10,,4,1,0.0,alpha,hirschberg,13,0.017606399953365326
0.018779573030769825,10,,8,1,0.0,bin,hirschberg,19,0.016580285970121622
0.021570837125182152,15,,8,1,0.0,alpha,hirschberg,23,0.017471037106588483
0.021226948825642467,15,,10,1,0.0,bin,hirschberg,27,0.01527862693183124
0.026094435015693307,20,,10,1,0.0,alpha,hirschberg,37,0.019669177941977978
0.026197156868875027,20,,16,1,0.0,bin,hirschberg,37,0.017887385794892907
9.674741344992071,1000,,643,1,0.0,alpha,hirschberg,1877,5.014072297839448
9.850010915892199,1000,,808,1,0.0,bin,hirschberg,1951,4.994720422895625
38.65318483207375,2000,,1297,1,0.0,alpha,hirschberg,3721,19.806440596934408
39.10109796607867,2000,,1611,1,0.0,bin,hirschberg,3881,20.206516055157408
86.95955321588553,3000,,1949,1,0.0,alpha,hirschberg,5631,44.68058208609
87.89654025202617,3000,,2446,1,0.0,bin,hirschberg,5869,45.27967221615836
154.6820465871133,4000,,2611,1,0.0,alpha,hirschberg,7471,79.13194089382887
158.70946031203493,4000,,3225,1,0.0,bin,hirschberg,7741,81.37050757696852
241.56629273598082,5000,,3255,1,0.0,alpha,hirschberg,9279,123.88461189507507
244.84921230887994,5000,,4061,1,0.0,bin,hirschberg,9731,127.34224605606869
